,Date,Price,Open,High,Low,Vol.,Change %
144,2020-05-23,267.12666666666667,267.15333333333336,267.56,266.59999999999997,,
145,2020-05-24,267.2333333333333,267.07666666666665,267.58000000000004,266.5,,
146,2020-05-25,267.34,267.0,267.6,266.4,1.16K,0.12%
147,2020-05-26,265.76,266.34,266.34,265.5,16.02K,-0.59%
148,2020-05-27,265.82,266.0,266.07,264.24,25.17K,0.02%
149,2020-05-28,266.33,264.93,266.33,264.17,44.49K,0.19%
150,2020-05-29,263.74,264.64,264.64,263.55,19.34K,-0.97%
151,2020-05-30,263.6666666666667,264.3533333333333,264.5466666666667,263.43333333333334,,
152,2020-05-31,263.5933333333333,264.06666666666666,264.4533333333333,263.31666666666666,,
153,2020-06-01,263.52,263.78,264.36,263.2,6.14K,-0.08%
154,2020-06-02,262.14,264.0,264.0,262.03,4.24K,-0.52%
155,2020-06-03,262.3,261.23,262.37,260.53,12.27K,0.06%
156,2020-06-04,259.07,260.76,261.25,258.44,13.84K,-1.23%
157,2020-06-05,257.61,257.39,258.28,256.72,4.78K,-0.56%
158,2020-06-06,258.23333333333335,257.55333333333334,258.68333333333334,257.0166666666667,,
159,2020-06-07,258.8566666666667,257.71666666666664,259.08666666666664,257.31333333333333,,
160,2020-06-08,259.48,257.88,259.49,257.61,2.93K,0.73%
161,2020-06-09,258.67,260.32,260.73,258.67,3.27K,-0.31%
162,2020-06-10,261.14,259.5,261.14,258.85,4.23K,0.95%
163,2020-06-11,261.31,261.11,261.36,260.25,4.19K,0.07%
164,2020-06-12,262.41,261.2,262.47,260.5,3.72K,0.42%
165,2020-06-13,262.55333333333334,261.8,262.6666666666667,260.93666666666667,,
166,2020-06-14,262.69666666666666,262.4,262.86333333333334,261.37333333333333,,
167,2020-06-15,262.84,263.0,263.06,261.81,2.77K,0.16%
168,2020-06-16,262.35,261.57,262.35,260.57,2.99K,-0.19%
169,2020-06-17,263.34,262.0,263.34,261.28,9.31K,0.38%
170,2020-06-18,263.02,262.69,263.3,262.01,3.70K,-0.12%
171,2020-06-19,263.7,263.05,264.2,261.8,7.08K,0.26%
172,2020-06-20,263.23333333333335,263.3666666666667,264.1333333333333,261.9666666666667,,
173,2020-06-21,262.76666666666665,263.68333333333334,264.06666666666666,262.1333333333333,,
174,2020-06-22,262.3,264.0,264.0,262.3,5.24K,-0.53%
175,2020-06-23,261.43,262.0,262.19,260.96,2.46K,-0.33%
176,2020-06-24,262.71,261.5,262.71,261.5,12.68K,0.49%
177,2020-06-25,264.01,262.7,264.01,262.44,5.07K,0.49%
178,2020-06-26,264.42,264.0,264.42,263.5,3.83K,0.16%
179,2020-06-27,263.96333333333337,263.8933333333333,264.17333333333335,263.09,,
180,2020-06-28,263.50666666666666,263.7866666666667,263.9266666666667,262.68,,
181,2020-06-29,263.05,263.68,263.68,262.27,2.29K,-0.52%
182,2020-06-30,263.43,263.12,263.69,263.09,1.33K,0.14%
183,2020-07-01,261.9,263.45,264.16,261.66,2.73K,-0.58%
184,2020-07-02,262.33,262.22,262.83,261.04,2.37K,0.16%
185,2020-07-03,263.53,263.26,263.53,262.67,0.78K,0.46%
186,2020-07-04,263.1333333333333,263.00333333333333,263.18333333333334,262.21000000000004,,
187,2020-07-05,262.7366666666666,262.74666666666667,262.83666666666664,261.75,,
188,2020-07-06,262.34,262.49,262.49,261.29,1.52K,-0.45%
189,2020-07-07,262.4,262.34,262.59,261.7,3.58K,0.02%
190,2020-07-08,262.96,263.0,263.58,261.6,2.59K,0.21%
191,2020-07-09,263.65,262.74,263.74,262.13,2.62K,0.26%
192,2020-07-10,261.95,264.0,264.67,261.95,3.56K,-0.64%
193,2020-07-11,262.03666666666663,263.75666666666666,264.26666666666665,261.76,,
194,2020-07-12,262.12333333333333,263.5133333333333,263.86333333333334,261.57,,
195,2020-07-13,262.21,263.27,263.46,261.38,3.44K,0.10%
196,2020-07-14,262.27,262.56,263.05,261.61,9.12K,0.02%
197,2020-07-15,261.74,262.21,262.21,260.57,1.57K,-0.20%
198,2020-07-16,261.95,261.74,262.22,261.11,3.34K,0.08%
199,2020-07-17,261.77,262.23,262.23,261.04,4.74K,-0.07%
200,2020-07-18,261.7366666666667,261.81666666666666,262.25,260.89,,
201,2020-07-19,261.7033333333333,261.40333333333336,262.27000000000004,260.74,,
202,2020-07-20,261.67,260.99,262.29,260.59,1.18K,-0.04%
203,2020-07-21,261.08,262.15,262.15,260.95,2.12K,-0.23%
204,2020-07-22,260.48,261.09,261.13,259.19,13.18K,-0.23%
205,2020-07-23,260.25,260.23,260.8,259.8,4.13K,-0.09%
206,2020-07-24,259.65,260.25,260.5,259.65,1.60K,-0.23%
207,2020-07-25,259.4,260.03333333333336,260.2366666666667,259.19666666666666,,
208,2020-07-26,259.15,259.81666666666666,259.9733333333333,258.74333333333334,,
209,2020-07-27,258.9,259.6,259.71,258.29,6.87K,-0.29%
210,2020-07-28,259.83,259.19,259.85,258.83,2.10K,0.36%
211,2020-07-29,259.03,259.89,259.89,258.56,3.28K,-0.31%
212,2020-07-30,258.59,259.2,259.77,258.59,4.46K,-0.17%
213,2020-07-31,259.01,258.54,259.1,258.3,4.05K,0.16%
214,2020-08-01,259.17,258.81666666666666,259.28333333333336,258.5,,
215,2020-08-02,259.33,259.09333333333336,259.46666666666664,258.7,,
216,2020-08-03,259.49,259.37,259.65,258.9,1.59K,0.19%
217,2020-08-04,259.31,258.8,259.7,258.74,1.62K,-0.07%
218,2020-08-05,257.7,259.0,259.31,257.25,6.84K,-0.62%
219,2020-08-06,259.62,258.0,259.62,258.0,7.40K,0.75%
220,2020-08-07,259.15,258.96,259.65,258.73,1.84K,-0.18%
221,2020-08-08,259.2033333333333,259.0133333333333,259.59666666666664,258.81,,
222,2020-08-09,259.25666666666666,259.06666666666666,259.54333333333335,258.89000000000004,,
223,2020-08-10,259.31,259.12,259.49,258.97,1.68K,0.06%
224,2020-08-11,257.95,259.35,259.35,257.71,0.67K,-0.52%
225,2020-08-12,257.15,257.95,257.95,256.82,1.42K,-0.31%
226,2020-08-13,256.34,256.8,256.8,255.53,1.32K,-0.31%
227,2020-08-14,256.05,256.34,256.67,255.99,0.83K,-0.11%
228,2020-08-15,256.17,256.09999999999997,256.58333333333337,255.86666666666667,,
229,2020-08-16,256.29,255.85999999999999,256.49666666666667,255.74333333333334,,
230,2020-08-17,256.41,255.62,256.41,255.62,0.71K,0.14%
231,2020-08-18,255.66,256.15,256.22,255.37,0.99K,-0.29%
232,2020-08-19,256.52,256.0,256.48,255.79,0.45K,0.34%
233,2020-08-20,257.18,257.06,257.92,256.98,0.84K,0.26%
234,2020-08-21,258.15,257.44,258.76,257.44,0.79K,0.38%
235,2020-08-22,258.02666666666664,257.7266666666667,258.6066666666667,257.29,,
236,2020-08-23,257.9033333333333,258.0133333333333,258.4533333333333,257.14,,
237,2020-08-24,257.78,258.3,258.3,256.99,0.24K,-0.14%
238,2020-08-25,256.57,257.78,257.78,255.91,2.04K,-0.47%
239,2020-08-26,256.54,255.93,256.8,255.78,2.25K,-0.01%
240,2020-08-27,256.16,256.67,256.91,256.16,0.92K,-0.15%
241,2020-08-28,255.4,254.6,255.84,254.1,1.72K,-0.30%
242,2020-08-29,255.03666666666666,254.71,255.55666666666667,254.14,,
243,2020-08-30,254.67333333333335,254.82,255.27333333333334,254.18,,
244,2020-08-31,254.31,254.93,254.99,254.22,0.96K,-0.43%
245,2020-09-01,254.04,254.25,254.97,253.69,5.01K,-0.11%
246,2020-09-02,257.81,256.28,257.81,256.04,5.86K,1.48%
247,2020-09-03,257.71,257.62,257.71,256.85,1.52K,-0.04%
248,2020-09-04,256.54,257.35,257.35,256.54,1.32K,-0.45%
249,2020-09-05,256.19666666666666,256.99,257.11333333333334,256.19666666666666,,
250,2020-09-06,255.85333333333332,256.63,256.87666666666667,255.85333333333332,,
251,2020-09-07,255.51,256.27,256.64,255.51,0.50K,-0.40%
252,2020-09-08,257.25,257.18,257.6,256.16,1.09K,0.68%
253,2020-09-09,256.25,257.67,258.1,256.25,6.94K,-0.39%
254,2020-09-10,255.36,256.99,256.99,254.96,2.47K,-0.35%
255,2020-09-11,256.37,256.51,256.75,255.72,2.38K,0.40%
256,2020-09-12,256.31,256.49,256.7966666666667,255.87666666666667,,
257,2020-09-13,256.25,256.46999999999997,256.8433333333333,256.0333333333333,,
258,2020-09-14,256.19,256.45,256.89,256.19,0.91K,-0.07%
259,2020-09-15,257.08,256.57,257.12,256.01,1.68K,0.35%
260,2020-09-16,257.78,257.18,257.9,256.64,0.66K,0.27%
261,2020-09-17,258.34,258.43,258.82,258.09,2.79K,0.22%
262,2020-09-18,257.63,257.5,258.22,257.4,2.34K,-0.27%
263,2020-09-19,258.13,257.56666666666666,258.6,257.34,,
264,2020-09-20,258.63,257.6333333333333,258.98,257.28000000000003,,
265,2020-09-21,259.13,257.7,259.36,257.22,7.59K,0.58%
266,2020-09-22,259.37,259.49,259.65,258.74,1.20K,0.09%
267,2020-09-23,259.79,259.52,259.99,259.25,1.26K,0.16%
268,2020-09-24,260.03,259.79,260.35,259.7,1.40K,0.09%
269,2020-09-25,260.56,259.69,260.56,259.4,4.95K,0.20%
270,2020-09-26,260.4166666666667,259.98,260.56,259.38,,
271,2020-09-27,260.2733333333333,260.27,260.56,259.35999999999996,,
272,2020-09-28,260.13,260.56,260.56,259.34,2.35K,-0.17%
273,2020-09-29,259.3,259.62,259.95,259.02,1.05K,-0.32%
274,2020-09-30,258.42,259.17,259.62,258.42,0.69K,-0.34%
275,2020-10-01,258.68,258.62,258.79,258.2,9.88K,0.10%
276,2020-10-02,259.38,259.21,259.91,258.91,2.36K,0.27%
277,2020-10-03,258.80333333333334,259.14,259.6066666666667,258.3833333333333,,
278,2020-10-04,258.22666666666663,259.07,259.30333333333334,257.8566666666667,,
279,2020-10-05,257.65,259.0,259.0,257.33,1.64K,-0.67%
280,2020-10-06,257.45,257.51,260.0,256.94,3.95K,-0.08%
281,2020-10-07,257.47,257.6,257.64,257.01,0.89K,0.01%
282,2020-10-08,257.62,257.5,257.99,257.32,1.49K,0.06%
283,2020-10-09,257.51,257.53,257.63,257.07,1.30K,-0.04%
284,2020-10-10,257.71999999999997,257.53999999999996,257.8,257.1533333333333,,
285,2020-10-11,257.93,257.55,257.96999999999997,257.2366666666667,,
286,2020-10-12,258.14,257.56,258.14,257.32,6.05K,0.24%
287,2020-10-13,258.95,258.34,259.14,257.94,2.98K,0.31%
288,2020-10-14,259.56,259.23,259.77,259.12,1.08K,0.24%
289,2020-10-15,259.89,259.56,260.57,259.56,7.92K,0.13%
290,2020-10-16,259.99,259.79,260.24,259.61,1.93K,0.04%
291,2020-10-17,259.49333333333334,259.66,259.99333333333334,259.23333333333335,,
292,2020-10-18,258.99666666666667,259.53,259.74666666666667,258.8566666666667,,
293,2020-10-19,258.5,259.4,259.5,258.48,6.98K,-0.57%
294,2020-10-20,257.98,258.97,258.97,257.77,0.98K,-0.20%
295,2020-10-21,258.75,257.36,258.75,257.06,12.17K,0.30%
296,2020-10-22,257.34,257.5,257.98,257.33,5.23K,-0.54%
297,2020-10-23,256.71,258.85,258.86,255.8,1.66K,-0.24%
298,2020-10-24,257.1066666666666,258.56,258.56666666666666,256.31,,
299,2020-10-25,257.50333333333333,258.27000000000004,258.27333333333337,256.82,,
300,2020-10-26,257.9,257.98,257.98,257.33,2.89K,0.46%
301,2020-10-27,258.5,257.83,258.5,257.65,1.46K,0.23%
302,2020-10-28,259.17,259.73,260.04,258.78,2.27K,0.26%
303,2020-10-29,260.61,259.58,260.61,259.56,24.11K,0.56%
304,2020-10-30,260.3,259.93,260.39,259.11,2.76K,-0.12%
305,2020-10-31,260.42,259.9066666666667,260.48,259.3566666666667,,
306,2020-11-01,260.54,259.8833333333333,260.57,259.60333333333335,,
307,2020-11-02,260.66,259.86,260.66,259.85,1.01K,0.14%
308,2020-11-03,259.37,259.86,259.86,258.34,3.67K,-0.49%
309,2020-11-04,260.6,260.4,260.83,259.68,4.00K,0.47%
310,2020-11-05,259.67,260.03,260.03,259.17,1.28K,-0.36%
311,2020-11-06,258.47,259.4,259.52,258.23,2.76K,-0.46%
312,2020-11-07,258.49,259.16666666666663,259.31333333333333,257.40333333333336,,
313,2020-11-08,258.51,258.93333333333334,259.1066666666666,256.57666666666665,,
314,2020-11-09,258.53,258.7,258.9,255.75,5.82K,0.02%
315,2020-11-10,256.72,257.01,257.1,256.19,1.52K,-0.70%
316,2020-11-11,258.87,256.51,258.87,256.4,2.85K,0.84%
317,2020-11-12,257.51,257.03,257.6,256.71,4.42K,-0.53%
318,2020-11-13,259.12,257.82,259.12,257.33,3.72K,0.63%
319,2020-11-14,258.61333333333334,258.25333333333333,259.12,257.2033333333333,,
320,2020-11-15,258.1066666666667,258.68666666666667,259.12,257.07666666666665,,
321,2020-11-16,257.6,259.12,259.12,256.95,3.93K,-0.59%
322,2020-11-17,257.67,257.72,257.91,257.27,3.72K,0.03%
323,2020-11-18,258.41,258.24,258.49,257.91,3.32K,0.29%
324,2020-11-19,258.47,258.5,258.9,258.31,1.68K,0.02%
325,2020-11-20,258.85,258.47,258.85,258.46,3.19K,0.15%
326,2020-11-21,258.82666666666665,258.5966666666667,258.86,258.34,,
327,2020-11-22,258.80333333333334,258.72333333333336,258.87,258.22,,
328,2020-11-23,258.78,258.85,258.88,258.1,16.07K,-0.03%
329,2020-11-24,257.63,258.45,258.45,256.17,7.81K,-0.44%
330,2020-11-25,257.88,257.26,258.07,257.26,1.97K,0.10%
331,2020-11-26,258.01,257.19,259.11,257.19,6.91K,0.05%
332,2020-11-27,257.57,257.72,258.78,257.24,3.70K,-0.17%
333,2020-11-28,257.5233333333333,257.54,258.33,257.07666666666665,,
334,2020-11-29,257.4766666666667,257.36,257.88,256.91333333333336,,
335,2020-11-30,257.43,257.18,257.43,256.75,1.98K,-0.05%
336,2020-12-01,255.2,257.1,257.11,255.19,2.93K,-0.87%
337,2020-12-02,255.63,254.68,255.63,253.91,20.49K,0.17%
338,2020-12-03,252.75,253.91,254.52,252.75,12.27K,-1.13%
339,2020-12-04,253.74,254.06,254.29,253.61,15.91K,0.39%
340,2020-12-05,254.06666666666666,254.12333333333333,254.46666666666667,253.76000000000002,,
341,2020-12-06,254.39333333333335,254.18666666666667,254.64333333333332,253.91,,
342,2020-12-07,254.72,254.25,254.82,254.06,2.79K,0.39%
343,2020-12-08,255.16,254.85,255.26,254.64,0.21K,0.17%
344,2020-12-09,255.69,254.97,255.69,254.73,3.24K,0.21%
345,2020-12-10,255.41,255.23,255.81,254.88,1.94K,-0.11%
346,2020-12-11,255.84,255.51,256.19,255.51,2.50K,0.17%
347,2020-12-12,255.73333333333335,255.54333333333332,256.26,255.31333333333333,,
348,2020-12-13,255.62666666666667,255.57666666666668,256.33,255.11666666666665,,
349,2020-12-14,255.52,255.61,256.4,254.92,2.98K,-0.13%
350,2020-12-15,255.23,255.15,255.77,255.01,3.09K,-0.11%
351,2020-12-16,255.09,254.55,255.09,254.24,5.94K,-0.05%
352,2020-12-17,254.5,254.4,254.85,254.31,2.28K,-0.23%
353,2020-12-18,254.35,254.0,254.35,253.5,3.20K,-0.06%
354,2020-12-19,254.37,254.20666666666668,254.71,253.74,,
355,2020-12-20,254.39,254.41333333333333,255.07,253.98,,
356,2020-12-21,254.41,254.62,255.43,254.22,7.98K,0.02%
357,2020-12-22,255.13,254.47,255.13,253.33,4.34K,0.28%
358,2020-12-23,254.18,254.9,255.1,253.67,3.36K,-0.37%
359,2020-12-24,254.054,254.756,254.938,253.636,,
360,2020-12-25,253.928,254.612,254.77599999999998,253.602,,
361,2020-12-26,253.80200000000002,254.46800000000002,254.614,253.56799999999998,,
362,2020-12-27,253.67600000000002,254.324,254.452,253.534,,
363,2020-12-28,253.55,254.18,254.29,253.5,1.49K,-0.25%
364,2020-12-29,253.82,253.7,253.82,253.41,1.69K,0.11%
365,2020-12-30,253.84,253.82,253.95,253.42,1.98K,0.01%
366,2020-12-31,253.84,253.82,253.95,253.42,,
