,1-OFF-NO,1-OFF-YES,DCA-NO,DCA-YES
5127,125.33580024824961,123.82833800980262,115.54921409428924,123.8283380098026
5128,124.70241193473197,123.3579334846192,114.91066612043102,123.35793348461921
5129,124.07538208944217,122.88772222040133,114.27699962073036,122.88772222040134
5130,140.7839707288295,137.15437559207464,132.47719315074187,137.15437559207464
5131,140.03348776832618,136.6801710654301,131.7442807426123,136.6801710654301
5132,139.29095136512768,136.2061617981468,131.01720450308974,136.2061617981468
5133,138.55623596965984,135.73234766964902,130.29589499866137,135.732347669649
5134,137.829218663277,135.25872855946022,129.580283892874,135.25872855946022
5135,137.10977908970622,134.78530434720315,128.87030392475248,134.78530434720318
5136,136.3977993886241,134.3120749125995,128.16588888772512,134.31207491259954
5137,135.69316413128928,133.83904013547004,127.46697360904301,133.83904013547004
5138,134.99576025815648,133.36619989573427,126.77349392967935,133.36619989573427
5139,134.30547701840186,132.89355407341037,126.08538668469618,132.89355407341037
5140,133.62220591129068,132.42110254861538,125.40258968406522,132.42110254861538
5141,132.94584062932347,131.94884520156475,124.72504169393147,131.94884520156475
5142,132.27627700309688,131.4767819125724,124.05268241830711,131.47678191257236
5143,148.75973844834942,145.2928389666833,142.0006580842023,145.29283896668332
5144,147.96956293383505,144.8169683337642,141.23134090929364,144.8169683337642
5145,147.1877253138617,144.3412936422138,140.46813662109815,144.3412936422138
5146,146.4140943094527,143.86581477103775,139.7109726497161,143.86581477103772
5147,145.6485413832015,143.3905315993412,138.95977756941718,143.3905315993412
5148,144.89094066807635,142.9154440063289,138.21448107617903,142.91544400632887
5149,144.14116889843194,142.4405518713049,137.47501396575424,142.44055187130488
5150,143.39910534314888,141.96585507367263,136.74130811224853,141.96585507367266
5151,142.66463174082503,141.4913534929347,136.01329644719888,141.4913534929347
5152,141.93763223694475,141.01704700869274,135.29091293913604,141.01704700869274
5153,141.21799332295714,140.5429355006474,134.5740925736199,140.54293550064742
5154,140.50560377719512,140.06901884859826,133.86277133373366,140.06901884859823
5155,156.67991636989015,153.4309673085785,151.48292907037975,153.4309673085785
5156,155.85061731369711,152.95343070694685,150.67752793103872,152.95343070694682
5157,155.03003880691944,152.47609072860664,149.878512665476,152.4760907286066
5158,154.218044016718,151.99894725214494,149.0858076250099,151.99894725214494
5159,153.414498958057,151.52200015624874,148.2993383511304,151.52200015624874
5160,152.6192724200009,151.04524931970474,147.51903155218474,151.04524931970474
5161,151.83223589428843,150.56869462139957,146.744815080609,150.56869462139957
