,Date,Price,Open,High,Low,Vol.,Change %
39,2020-02-08,79.75,79.74,79.76,79.51666666666667,,
40,2020-02-09,79.74000000000001,79.87,79.88,79.52333333333334,,
41,2020-02-10,79.73,80.0,80.0,79.53,1.16K,-0.04%
42,2020-02-11,79.54,79.64,79.64,79.56,0.77K,-0.24%
43,2020-02-12,79.16,79.32,79.32,79.25,0.02K,-0.48%
44,2020-02-13,78.64,79.3,79.3,78.61,0.15K,-0.66%
45,2020-02-14,78.98,79.02,79.14,78.86,1.72K,0.43%
46,2020-02-15,79.01666666666667,79.02666666666667,79.15333333333334,78.78,,
47,2020-02-16,79.05333333333334,79.03333333333333,79.16666666666667,78.7,,
48,2020-02-17,79.09,79.04,79.18,78.62,2.19K,0.14%
49,2020-02-18,79.06,79.15,79.15,78.88,0.29K,-0.04%
50,2020-02-19,79.42,79.35,79.54,79.28,0.06K,0.46%
51,2020-02-20,79.94,79.91,80.09,79.67,0.34K,0.65%
52,2020-02-21,79.73,80.0,80.0,79.76,1.28K,-0.26%
53,2020-02-22,79.82333333333334,80.04666666666667,80.05,79.81333333333333,,
54,2020-02-23,79.91666666666667,80.09333333333333,80.10000000000001,79.86666666666667,,
55,2020-02-24,80.01,80.14,80.15,79.92,0.44K,0.35%
56,2020-02-25,79.55,79.83,79.87,79.64,0.69K,-0.57%
57,2020-02-26,79.88,79.36,79.86,79.36,1.95K,0.41%
58,2020-02-27,80.11,80.03,80.34,80.01,1.00K,0.29%
59,2020-02-28,80.67,80.11,80.83,79.89,0.47K,0.70%
60,2020-02-29,80.9,80.53666666666666,81.07666666666667,80.29333333333334,,
61,2020-03-01,81.13,80.96333333333334,81.32333333333332,80.69666666666666,,
62,2020-03-02,81.36,81.39,81.57,81.1,3.60K,0.86%
63,2020-03-03,81.8,81.31,81.78,81.16,2.82K,0.54%
64,2020-03-04,81.82,82.25,82.34,81.63,2.23K,0.02%
65,2020-03-05,81.17,81.16,81.38,81.06,8.44K,-0.79%
66,2020-03-06,80.75,81.52,81.52,80.43,15.34K,-0.52%
67,2020-03-07,80.24,80.89666666666666,81.42666666666666,79.73,,
68,2020-03-08,79.73,80.27333333333334,81.33333333333333,79.03,,
69,2020-03-09,79.22,79.65,81.24,78.33,6.45K,-1.89%
70,2020-03-10,79.8,80.1,80.25,78.85,1.46K,0.73%
71,2020-03-11,78.87,79.71,79.71,77.91,5.03K,-1.17%
72,2020-03-12,76.19,76.18,77.64,74.04,3.16K,-3.40%
73,2020-03-13,77.45,75.32,78.26,74.82,0.57K,1.65%
74,2020-03-14,77.02333333333334,76.10666666666667,78.58333333333334,74.87666666666667,,
75,2020-03-15,76.59666666666666,76.89333333333333,78.90666666666667,74.93333333333332,,
76,2020-03-16,76.17,77.68,79.23,74.99,3.57K,-1.65%
77,2020-03-17,76.48,76.9,78.82,75.45,6.59K,0.41%
78,2020-03-18,75.01,74.49,77.2,73.76,2.21K,-1.92%
79,2020-03-19,75.17,77.64,78.35,73.49,8.38K,0.21%
80,2020-03-20,75.05,75.08,75.55,72.45,4.19K,-0.16%
81,2020-03-21,76.28333333333333,74.64,76.92666666666666,72.86333333333333,,
82,2020-03-22,77.51666666666667,74.2,78.30333333333334,73.27666666666667,,
83,2020-03-23,78.75,73.76,79.68,73.69,24.96K,4.92%
84,2020-03-24,78.39,78.03,79.88,77.33,1.63K,-0.46%
85,2020-03-25,79.24,78.7,81.1,75.6,1.45K,1.09%
86,2020-03-26,78.04,79.45,79.97,77.19,5.55K,-1.52%
87,2020-03-27,75.91,76.64,78.41,75.98,0.14K,-2.72%
88,2020-03-28,76.31666666666666,76.84666666666666,78.32666666666667,76.04,,
89,2020-03-29,76.72333333333333,77.05333333333334,78.24333333333333,76.1,,
90,2020-03-30,77.13,77.26,78.16,76.16,0.84K,1.61%
91,2020-03-31,77.29,77.96,78.96,75.67,8.38K,0.21%
92,2020-04-01,76.82,77.66,77.66,75.66,1.32K,-0.61%
93,2020-04-02,76.69,77.49,77.49,76.06,0.48K,-0.16%
94,2020-04-03,77.07,76.63,77.79,76.57,1.69K,0.50%
95,2020-04-04,77.19999999999999,76.89666666666666,77.76,76.85666666666667,,
96,2020-04-05,77.33,77.16333333333334,77.73,77.14333333333333,,
