,Date,Price,Open,High,Low,Vol.,Change %
63,2020-03-03,153.89,150.84,155.24,150.74,28.69M,3.14%
64,2020-03-04,154.16,154.4,154.96,153.7,12.32M,0.18%
65,2020-03-05,157.49,156.06,157.62,155.72,17.97M,2.16%
66,2020-03-06,157.55,158.33,159.25,154.54,26.97M,0.04%
67,2020-03-07,157.63666666666668,158.42000000000002,159.29,155.13666666666666,,
68,2020-03-08,157.72333333333333,158.51,159.33,155.73333333333335,,
69,2020-03-09,157.81,158.6,159.37,156.33,24.87M,0.17%
70,2020-03-10,154.48,156.18,156.41,154.39,18.81M,-2.11%
71,2020-03-11,153.93,156.25,156.5,153.61,18.35M,-0.36%
72,2020-03-12,147.79,151.53,151.55,146.85,32.89M,-3.99%
73,2020-03-13,143.28,149.42,149.6,141.58,35.18M,-3.05%
74,2020-03-14,142.73333333333332,145.46666666666667,147.38666666666666,139.76000000000002,,
75,2020-03-15,142.18666666666667,141.51333333333332,145.17333333333335,137.94,,
76,2020-03-16,141.64,137.56,142.96,136.12,24.50M,-1.14%
77,2020-03-17,143.56,140.18,146.2,139.93,24.49M,1.36%
78,2020-03-18,140.7,141.75,142.88,138.5,21.87M,-1.99%
79,2020-03-19,138.04,139.08,140.5,137.85,20.64M,-1.89%
80,2020-03-20,140.11,140.71,141.17,139.14,20.06M,1.50%
81,2020-03-21,142.17333333333335,141.36666666666667,143.09,140.18666666666667,,
82,2020-03-22,144.23666666666668,142.02333333333334,145.01,141.23333333333332,,
83,2020-03-23,146.3,142.68,146.93,142.28,28.12M,4.42%
84,2020-03-24,153.4,153.5,155.66,152.05,20.56M,4.85%
85,2020-03-25,151.3,152.58,152.88,151.01,16.12M,-1.37%
86,2020-03-26,153.24,153.31,154.81,152.08,12.32M,1.28%
87,2020-03-27,152.25,153.0,153.55,152.0,9.82M,-0.65%
88,2020-03-28,152.47333333333333,152.80333333333334,153.39333333333335,151.85666666666665,,
89,2020-03-29,152.69666666666666,152.60666666666665,153.23666666666668,151.71333333333334,,
90,2020-03-30,152.92,152.41,153.08,151.57,12.08M,0.44%
91,2020-03-31,148.05,151.36,151.8,147.97,13.32M,-3.18%
92,2020-04-01,149.45,148.2,150.08,147.85,11.83M,0.95%
93,2020-04-02,151.9,151.2,152.5,150.7,9.19M,1.64%
94,2020-04-03,152.65,152.23,153.09,151.66,8.47M,0.49%
95,2020-04-04,154.06,152.87333333333333,154.46666666666667,152.42666666666668,,
96,2020-04-05,155.47,153.51666666666665,155.84333333333333,153.19333333333333,,
97,2020-04-06,156.88,154.16,157.22,153.96,14.74M,2.77%
98,2020-04-07,156.04,155.33,156.14,154.38,9.20M,-0.54%
99,2020-04-08,154.65,155.91,155.94,154.59,7.60M,-0.89%
100,2020-04-09,158.69,158.08,159.08,157.21,18.12M,2.61%
101,2020-04-10,159.37,158.35250000000002,159.905,157.565,,
102,2020-04-11,160.05,158.625,160.73000000000002,157.92000000000002,,
103,2020-04-12,160.73,158.89749999999998,161.555,158.275,,
104,2020-04-13,161.41,159.17,162.38,158.63,20.55M,1.71%
105,2020-04-14,162.68,162.73,164.42,161.78,17.10M,0.79%
106,2020-04-15,161.85,161.8,162.54,160.81,12.14M,-0.51%
107,2020-04-16,161.71,161.88,163.15,160.65,9.23M,-0.09%
108,2020-04-17,158.57,159.72,160.07,158.12,14.65M,-1.94%
109,2020-04-18,158.94666666666666,159.35333333333332,160.12,158.23333333333335,,
110,2020-04-19,159.32333333333332,158.98666666666668,160.17,158.34666666666666,,
111,2020-04-20,159.7,158.62,160.22,158.46,10.69M,0.71%
112,2020-04-21,158.61,157.6,159.21,157.04,12.48M,-0.68%
113,2020-04-22,161.73,160.5,161.74,160.42,12.94M,1.97%
114,2020-04-23,163.34,162.39,163.6,161.84,14.93M,1.00%
115,2020-04-24,162.64,163.13,163.31,160.89,11.20M,-0.43%
116,2020-04-25,162.28,162.71333333333334,162.87333333333333,160.73,,
117,2020-04-26,161.92,162.29666666666665,162.43666666666667,160.57,,
118,2020-04-27,161.56,161.88,162.0,160.41,9.03M,-0.66%
119,2020-04-28,160.84,160.89,160.98,159.16,10.38M,-0.45%
120,2020-04-29,161.73,160.1,161.85,159.76,12.23M,0.55%
121,2020-04-30,158.8,160.22,160.82,158.13,13.63M,-1.81%
122,2020-05-01,159.78,158.0,160.45,157.8,10.91M,0.62%
123,2020-05-02,159.78,159.78,159.78,159.78,-,0.00%
124,2020-05-03,159.78,159.78,159.78,159.78,-,0.00%
125,2020-05-04,160.34,160.33,160.95,159.91,7.99M,0.35%
126,2020-05-05,161.02,160.16,161.1,159.33,10.56M,0.42%
127,2020-05-06,158.95,158.99,159.81,158.1,13.35M,-1.29%
128,2020-05-07,161.39,159.5,161.96,159.36,13.70M,1.54%
129,2020-05-08,160.42,161.08,162.0,160.0,12.24M,-0.60%
130,2020-05-09,160.42,160.42,160.42,160.42,-,0.00%
131,2020-05-10,160.42,160.42,160.42,160.42,-,0.00%
